id,date,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,11/2/15 14:48,21.76,31.13333333,437.3333333,1029.666667,0.005021011,1
2,11/2/15 14:49,21.79,31,437.3333333,1000,0.005008581,1
3,11/2/15 14:50,21.7675,31.1225,434,1003.75,0.005021569,1
4,11/2/15 14:51,21.7675,31.1225,439,1009.5,0.005021569,1
5,11/2/15 14:51,21.79,31.13333333,437.3333333,1005.666667,0.005030298,1
6,11/2/15 14:53,21.76,31.26,437.3333333,1014.333333,0.005041605,1
7,11/2/15 14:54,21.79,31.1975,434,1018.5,0.005040749,1
8,11/2/15 14:55,21.79,31.39333333,437.3333333,1018.666667,0.005072649,1
9,11/2/15 14:55,21.79,31.3175,434,1022,0.005060296,1
10,11/2/15 14:57,21.79,31.46333333,437.3333333,1027.333333,0.005084053,1
11,11/2/15 14:57,21.79,31.525,437.75,1047.75,0.005094099,1
12,11/2/15 14:58,21.79,31.575,441.75,1049,0.005102244,1
13,11/2/15 15:00,21.79,31.395,442,1061.5,0.005072921,1
14,11/2/15 15:01,21.79,31.3925,441.75,1049,0.005072514,1
15,11/2/15 15:02,21.79,31.5,441.5,1048,0.005090026,1
16,11/2/15 15:03,21.815,31.5,438,1049.25,0.005097869,1
17,11/2/15 15:04,21.815,31.4725,449.5,1051.25,0.005093382,1
18,11/2/15 15:04,21.89,31.6,449.5,1060.5,0.005137857,1
19,11/2/15 15:06,21.79,31.55,449.5,1059.5,0.005098172,1
20,11/2/15 15:07,21.82333333,31.73,447.6666667,1072,0.005138035,1
21,11/2/15 15:08,21.865,31.7225,449.5,1072.333333,0.005150007,1
22,11/2/15 15:08,21.89,31.745,449.5,1075.333333,0.005161628,1
23,11/2/15 15:10,21.89,31.7675,449.5,1087,0.005165317,1
24,11/2/15 15:10,21.89,31.7675,437.75,1083.25,0.005165317,1
25,11/2/15 15:11,21.89,31.79,442.6666667,1086.333333,0.005169006,1
26,11/2/15 15:13,21.89,31.79,437.3333333,1091,0.005169006,1
27,11/2/15 15:14,21.89,31.89,439,1100,0.005185401,1
28,11/2/15 15:15,21.89,31.89,444,1101,0.005185401,1
29,11/2/15 15:16,21.89,31.865,444,1107,0.005181302,1
30,11/2/15 15:16,21.89,31.79,444,1110,0.005169006,1
31,11/2/15 15:17,21.89,31.865,444,1101.75,0.005181302,1
32,11/2/15 15:19,21.89,31.73,444,1100,0.005159169,1
33,11/2/15 15:20,21.89,31.7225,444,1092.75,0.005157939,1
34,11/2/15 15:21,21.89,31.7,444,1092.5,0.00515425,1
35,11/2/15 15:22,21.89,31.695,436.5,1094,0.005153431,1
36,11/2/15 15:23,21.89,31.56666667,434,1085.666667,0.005132392,1
37,11/2/15 15:23,21.89,31.55,436.5,1047,0.00512966,0
38,11/2/15 15:24,21.89,31.36,434,1031,0.005098515,0
39,11/2/15 15:26,21.89,31.125,432.75,977.5,0.005059998,0
40,11/2/15 15:27,21.89,31.15,436.5,961.25,0.005064095,1
41,11/2/15 15:28,21.89,31.06333333,434,948,0.005049891,1
42,11/2/15 15:29,21.89,30.77,429,913.25,0.005001821,1
43,11/2/15 15:29,21.89,30.7675,432.75,882.5,0.005001412,1
44,11/2/15 15:30,21.89,30.945,429,884.5,0.005030499,1
45,11/2/15 15:32,21.89,30.7925,429,899,0.005005508,1
46,11/2/15 15:33,21.89,30.77,432.75,888.25,0.005001821,1
47,11/2/15 15:34,21.89,30.795,436.5,878.5,0.005005918,1
48,11/2/15 15:35,21.89,30.8175,429,891.25,0.005009605,1
49,11/2/15 15:36,21.89,30.65,436.5,896.5,0.004982159,1
50,11/2/15 15:36,21.89,30.7475,429,889.5,0.004998135,1
51,11/2/15 15:38,21.89,30.76333333,429,887.3333333,0.005000729,1
52,11/2/15 15:39,21.89,30.77,429,893.5,0.005001821,1
53,11/2/15 15:40,21.89,30.445,429,832.5,0.004948571,1
54,11/2/15 15:40,21.89,30.56666667,429,829,0.004968505,1
55,11/2/15 15:42,21.89,30.5,429,829.25,0.004957582,1
56,11/2/15 15:42,21.89,30.575,429,850.5,0.00496987,1
57,11/2/15 15:43,21.89,30.6,429,844,0.004973966,1
58,11/2/15 15:45,21.89,30.55,429,840.25,0.004965774,1
59,11/2/15 15:46,21.865,30.55,429,823.75,0.00495814,1
60,11/2/15 15:47,21.89,30.6,429,824,0.004973966,1
61,11/2/15 15:48,21.89,30.34,429,813,0.004931369,1
62,11/2/15 15:49,21.89,30.35666667,429,802,0.004934099,1
63,11/2/15 15:49,21.865,30.3925,429,810.75,0.004932375,1
64,11/2/15 15:51,21.89,30.35666667,429,805.3333333,0.004934099,1
65,11/2/15 15:52,21.89,30.315,429,796.5,0.004927273,1
66,11/2/15 15:53,21.89,30.2,429,795,0.004908434,1
67,11/2/15 15:53,21.89,30.34,429,793.5,0.004931369,1
68,11/2/15 15:55,21.89,30.295,429,790.5,0.004923997,1
69,11/2/15 15:55,21.89,30.29,429,786.5,0.004923177,1
70,11/2/15 15:56,21.89,30.39,429,794.3333333,0.00493956,1
71,11/2/15 15:58,21.89,30.365,429,795.5,0.004935464,1
72,11/2/15 15:59,21.89,30.42666667,414,792.6666667,0.004945567,1
73,11/2/15 16:00,21.89,30.73,424,798,0.004995267,1
74,11/2/15 16:01,21.89,30.4175,429,795.5,0.004944065,1
75,11/2/15 16:01,21.89,30.39,429,797.75,0.00493956,1
76,11/2/15 16:02,21.89,30.39,429,798,0.00493956,1
77,11/2/15 16:04,21.89,30.445,429,802,0.004948571,1
78,11/2/15 16:05,21.89,30.35666667,421.5,797.5,0.004934099,1
79,11/2/15 16:06,21.89,30.32333333,429,791.5,0.004928638,1
80,11/2/15 16:07,21.89,30.32,418.75,788.25,0.004928092,1
81,11/2/15 16:08,21.89,30.39,429,792.25,0.00493956,1
82,11/2/15 16:08,21.89,30.39,429,795.5,0.00493956,1
83,11/2/15 16:09,21.89,30.365,429,793.5,0.004935464,1
84,11/2/15 16:11,21.89,30.23,429,789.3333333,0.004913348,1
85,11/2/15 16:12,21.89,30.2,429,786,0.004908434,1
86,11/2/15 16:13,21.89,30.0225,429,771.75,0.004879358,1
87,11/2/15 16:14,21.89,29.96,429,760,0.004869121,1
88,11/2/15 16:14,21.89,29.9175,429,756,0.00486216,1
89,11/2/15 16:15,21.89,30.1,429,754,0.004892053,1
90,11/2/15 16:17,21.89,30.15,416.5,759,0.004900243,1
91,11/2/15 16:18,21.89,30.13333333,421.6666667,756.6666667,0.004897513,1
92,11/2/15 16:19,21.89,30.47,438,764.25,0.004952667,1
93,11/2/15 16:20,21.89,30.16666667,441,768,0.004902973,1
94,11/2/15 16:21,21.89,30.075,438,770.25,0.004887958,1
95,11/2/15 16:21,21.89,30.125,438,766.25,0.004896148,1
96,11/2/15 16:23,21.89,30.175,438,767.75,0.004904339,1
97,11/2/15 16:24,21.89,30.295,438,777,0.004923997,1
98,11/2/15 16:25,21.89,30.2,441,775.3333333,0.004908434,1
99,11/2/15 16:25,21.89,30.2,436.3333333,768,0.004908434,1
100,11/2/15 16:27,21.865,30.15,438,766.75,0.004892711,1
101,11/2/15 16:27,21.89,30.075,438,772.5,0.004887958,1
102,11/2/15 16:28,21.89,30.0725,435.5,774.75,0.004887548,1
103,11/2/15 16:30,21.89,30.03,435,766.3333333,0.004880587,1
104,11/2/15 16:31,21.89,29.9175,434.5,752,0.00486216,1
105,11/2/15 16:32,21.89,30.1,430.5,754,0.004892053,1
106,11/2/15 16:33,21.89,30.1,441,755,0.004892053,1
107,11/2/15 16:34,21.89,30.075,431,763.25,0.004887958,1
108,11/2/15 16:34,21.89,30.1975,425,769.5,0.004908024,1
109,11/2/15 16:36,21.89,30.23,419,769.3333333,0.004913348,1
110,11/2/15 16:37,21.9175,30.5475,395.25,772.25,0.004973773,1
111,11/2/15 16:38,21.96333333,30.79333333,426.6666667,784.6666667,0.00502828,1
112,11/2/15 16:38,21.9725,30.2,424.75,784.25,0.004933406,1
113,11/2/15 16:40,22,30.175,423.5,794.25,0.004937632,1
114,11/2/15 16:40,21.945,30.245,423.5,791,0.004932467,1
115,11/2/15 16:41,21.92666667,30.29,426.6666667,791.3333333,0.004934296,1
116,11/2/15 16:43,21.9725,30.175,428.25,793.25,0.00492929,1
117,11/2/15 16:44,21.89,30.245,433,787.5,0.004915806,1
118,11/2/15 16:45,21.92666667,30.35666667,433,789,0.004945242,1
119,11/2/15 16:46,21.945,30.1725,428.25,782.75,0.00492055,1
120,11/2/15 16:46,21.9175,30.34,428.25,783.5,0.004939719,1
121,11/2/15 16:47,21.92666667,30.29,426.6666667,791,0.004934296,1
122,11/2/15 16:49,21.9175,30.2925,428.25,786,0.004931925,1
123,11/2/15 16:50,21.9175,30.27,433,786.5,0.004928232,1
124,11/2/15 16:51,21.92666667,30.19666667,433,786.3333333,0.004918972,1
125,11/2/15 16:52,21.89,30.34,428.25,786.3333333,0.004931369,1
126,11/2/15 16:53,21.945,30.34,433,787.6666667,0.004948083,1
127,11/2/15 16:53,21.945,30.39,433,786.5,0.004956302,1
128,11/2/15 16:54,21.89,30.365,433,791.75,0.004935464,1
129,11/2/15 16:56,21.89,30.39,433,788,0.00493956,1
130,11/2/15 16:57,21.9175,30.4725,433,797.75,0.004961464,1
131,11/2/15 16:58,21.9175,30.39,433,801.75,0.004947925,1
132,11/2/15 16:59,21.945,30.5,433,803.5,0.004974386,1
133,11/2/15 16:59,21.89,30.4725,433,811,0.004953076,1
134,11/2/15 17:00,21.89,30.42666667,433,803.6666667,0.004945567,1
135,11/2/15 17:02,21.9725,30.5,433,801.5,0.004982806,1
136,11/2/15 17:03,21.945,30.5,433,804,0.004974386,1
137,11/2/15 17:04,21.9725,30.4175,433,807,0.004969221,1
138,11/2/15 17:05,21.945,30.3675,433,801.75,0.004952603,1
