id,time1,time2,unix,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,2015-02-11 06:48:00,11/2/15 14:48,1423637280,21.76,31.13333333,437.3333333,1029.666667,0.005021011,1
2,2015-02-11 06:49:00,11/2/15 14:49,1423637340,21.79,31,437.3333333,1000,0.005008581,1
3,2015-02-11 06:50:00,11/2/15 14:50,1423637400,21.7675,31.1225,434,1003.75,0.005021569,1
4,2015-02-11 06:51:00,11/2/15 14:51,1423637460,21.7675,31.1225,439,1009.5,0.005021569,1
5,2015-02-11 06:51:00,11/2/15 14:51,1423637460,21.79,31.13333333,437.3333333,1005.666667,0.005030298,1
6,2015-02-11 06:53:00,11/2/15 14:53,1423637580,21.76,31.26,437.3333333,1014.333333,0.005041605,1
7,2015-02-11 06:54:00,11/2/15 14:54,1423637640,21.79,31.1975,434,1018.5,0.005040749,1
8,2015-02-11 06:55:00,11/2/15 14:55,1423637700,21.79,31.39333333,437.3333333,1018.666667,0.005072649,1
9,2015-02-11 06:55:00,11/2/15 14:55,1423637700,21.79,31.3175,434,1022,0.005060296,1
10,2015-02-11 06:57:00,11/2/15 14:57,1423637820,21.79,31.46333333,437.3333333,1027.333333,0.005084053,1
11,2015-02-11 06:57:00,11/2/15 14:57,1423637820,21.79,31.525,437.75,1047.75,0.005094099,1
12,2015-02-11 06:58:00,11/2/15 14:58,1423637880,21.79,31.575,441.75,1049,0.005102244,1
13,2015-02-11 07:00:00,11/2/15 15:00,1423638000,21.79,31.395,442,1061.5,0.005072921,1
14,2015-02-11 07:01:00,11/2/15 15:01,1423638060,21.79,31.3925,441.75,1049,0.005072514,1
15,2015-02-11 07:02:00,11/2/15 15:02,1423638120,21.79,31.5,441.5,1048,0.005090026,1
16,2015-02-11 07:03:00,11/2/15 15:03,1423638180,21.815,31.5,438,1049.25,0.005097869,1
17,2015-02-11 07:04:00,11/2/15 15:04,1423638240,21.815,31.4725,449.5,1051.25,0.005093382,1
18,2015-02-11 07:04:00,11/2/15 15:04,1423638240,21.89,31.6,449.5,1060.5,0.005137857,1
19,2015-02-11 07:06:00,11/2/15 15:06,1423638360,21.79,31.55,449.5,1059.5,0.005098172,1
20,2015-02-11 07:07:00,11/2/15 15:07,1423638420,21.82333333,31.73,447.6666667,1072,0.005138035,1
21,2015-02-11 07:08:00,11/2/15 15:08,1423638480,21.865,31.7225,449.5,1072.333333,0.005150007,1
22,2015-02-11 07:08:00,11/2/15 15:08,1423638480,21.89,31.745,449.5,1075.333333,0.005161628,1
23,2015-02-11 07:10:00,11/2/15 15:10,1423638600,21.89,31.7675,449.5,1087,0.005165317,1
24,2015-02-11 07:10:00,11/2/15 15:10,1423638600,21.89,31.7675,437.75,1083.25,0.005165317,1
25,2015-02-11 07:11:00,11/2/15 15:11,1423638660,21.89,31.79,442.6666667,1086.333333,0.005169006,1
26,2015-02-11 07:13:00,11/2/15 15:13,1423638780,21.89,31.79,437.3333333,1091,0.005169006,1
27,2015-02-11 07:14:00,11/2/15 15:14,1423638840,21.89,31.89,439,1100,0.005185401,1
28,2015-02-11 07:15:00,11/2/15 15:15,1423638900,21.89,31.89,444,1101,0.005185401,1
29,2015-02-11 07:16:00,11/2/15 15:16,1423638960,21.89,31.865,444,1107,0.005181302,1
30,2015-02-11 07:16:00,11/2/15 15:16,1423638960,21.89,31.79,444,1110,0.005169006,1
31,2015-02-11 07:17:00,11/2/15 15:17,1423639020,21.89,31.865,444,1101.75,0.005181302,1
32,2015-02-11 07:19:00,11/2/15 15:19,1423639140,21.89,31.73,444,1100,0.005159169,1
33,2015-02-11 07:20:00,11/2/15 15:20,1423639200,21.89,31.7225,444,1092.75,0.005157939,1
34,2015-02-11 07:21:00,11/2/15 15:21,1423639260,21.89,31.7,444,1092.5,0.00515425,1
35,2015-02-11 07:22:00,11/2/15 15:22,1423639320,21.89,31.695,436.5,1094,0.005153431,1
36,2015-02-11 07:23:00,11/2/15 15:23,1423639380,21.89,31.56666667,434,1085.666667,0.005132392,1
37,2015-02-11 07:23:00,11/2/15 15:23,1423639380,21.89,31.55,436.5,1047,0.00512966,0
38,2015-02-11 07:24:00,11/2/15 15:24,1423639440,21.89,31.36,434,1031,0.005098515,0
39,2015-02-11 07:26:00,11/2/15 15:26,1423639560,21.89,31.125,432.75,977.5,0.005059998,0
40,2015-02-11 07:27:00,11/2/15 15:27,1423639620,21.89,31.15,436.5,961.25,0.005064095,1
41,2015-02-11 07:28:00,11/2/15 15:28,1423639680,21.89,31.06333333,434,948,0.005049891,1
42,2015-02-11 07:29:00,11/2/15 15:29,1423639740,21.89,30.77,429,913.25,0.005001821,1
43,2015-02-11 07:29:00,11/2/15 15:29,1423639740,21.89,30.7675,432.75,882.5,0.005001412,1
44,2015-02-11 07:30:00,11/2/15 15:30,1423639800,21.89,30.945,429,884.5,0.005030499,1
45,2015-02-11 07:32:00,11/2/15 15:32,1423639920,21.89,30.7925,429,899,0.005005508,1
46,2015-02-11 07:33:00,11/2/15 15:33,1423639980,21.89,30.77,432.75,888.25,0.005001821,1
47,2015-02-11 07:34:00,11/2/15 15:34,1423640040,21.89,30.795,436.5,878.5,0.005005918,1
48,2015-02-11 07:35:00,11/2/15 15:35,1423640100,21.89,30.8175,429,891.25,0.005009605,1
49,2015-02-11 07:36:00,11/2/15 15:36,1423640160,21.89,30.65,436.5,896.5,0.004982159,1
