age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
42.0,159449.0,5.2026218,13.0,5178,0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
39.0,367260.0,5.56497363,9.0,0,0,80.0,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,Male,United-States,<=50K
53.0,88506.0,4.946972713,13.0,0,0,40.0,Self-emp-not-inc,?,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
49.0,94638.0,4.976065554,9.0,0,0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
25.0,289980.0,5.462368046,9.0,0,0,35.0,Private,HS-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
41.0,101603.0,5.006906531,11.0,0,0,40.0,State-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
43.0,237993.0,5.376564184,10.0,0,0,40.0,Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
18.0,446839.0,5.650151071,9.0,0,0,30.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
44.0,343591.0,5.536041779,9.0,14344,0,40.0,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Female,United-States,>50K
33.0,202051.0,5.305461004,14.0,0,0,50.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
42.0,124692.0,5.095838591,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
70.0,105376.0,5.022741709,10.0,0,0,40.0,Private,Some-college,Never-married,Tech-support,Other-relative,White,Male,United-States,<=50K
36.0,108293.0,5.034600385,9.0,0,0,24.0,Private,HS-grad,Widowed,Other-service,Unmarried,White,Female,United-States,<=50K
34.0,198183.0,5.297066398,9.0,0,0,40.0,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
21.0,296158.0,5.471523469,9.0,0,0,35.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
52.0,252903.0,5.402953981,9.0,0,0,45.0,?,HS-grad,Divorced,?,Not-in-family,White,Male,United-States,>50K
48.0,187715.0,5.273498978,9.0,0,0,46.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
27.0,253814.0,5.404515573,9.0,0,0,25.0,Private,HS-grad,,Sales,Unmarried,White,Female,United-States,<=50K
35.0,138992.0,5.142989804,,7298,0,40.0,Private,?,?,Prof-specialty,Other-relative,White,Male,United-States,>50K
42.0,254817.0,5.406228398,10.0,0,1340,40.0,Local-gov,Some-college,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
18.0,140164.0,5.146636483,7.0,0,0,40.0,Private,11th,Never-married,Sales,Own-child,White,Female,United-States,<=50K
28.0,,,,0,0,55.0,?,?,?,?,?,White,Male,United-States,>50K
40.0,347890.0,5.541441945,13.0,0,0,40.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
38.0,179488.0,5.254035418,10.0,0,1741,40.0,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,Male,United-States,<=50K
42.0,390781.0,5.59193344,13.0,0,0,40.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,<=50K
26.0,378322.0,5.577861597,7.0,0,0,40.0,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
37.0,257295.0,5.410431347,10.0,0,0,75.0,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Male,Thailand,>50K
27.0,209109.0,5.320372725,14.0,0,0,35.0,Local-gov,Masters,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
35.0,190174.0,5.279151141,10.0,0,0,40.0,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
34.0,175413.0,5.244061776,12.0,0,0,45.0,Private,Assoc-acdm,Divorced,Sales,Unmarried,Black,Female,United-States,<=50K
38.0,169469.0,5.229090267,9.0,0,0,80.0,Private,HS-grad,Divorced,Sales,Not-in-family,White,Male,United-States,<=50K
36.0,205607.0,5.313037896,13.0,0,0,40.0,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,Black,Female,United-States,>50K
17.0,270942.0,5.432876332,3.0,0,0,48.0,Private,5th-6th,Never-married,Other-service,Other-relative,White,Male,Mexico,<=50K
33.0,117963.0,5.071745809,13.0,0,0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
42.0,111949.0,5.049020219,,0,0,35.0,Private,,,,Wife,White,Female,United-States,<=50K
44.0,160323.0,5.204995831,9.0,0,0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
46.0,214955.0,5.332347552,3.0,0,2339,45.0,Private,5th-6th,Divorced,Craft-repair,Not-in-family,White,Female,United-States,<=50K
25.0,344991.0,5.537807766,10.0,0,0,40.0,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
23.0,396099.0,5.597803746,9.0,0,0,25.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Female,United-States,<=50K
