age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
32.0,205019,5.311794111,12,0.0,0.0,50.0,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
40.0,121772,5.085547439,11,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac,Male,?,>50K
21.0,197200,5.294906911,10,0.0,0.0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
31.0,84154,4.925074764,10,0.0,0.0,38.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,?,>50K
53.0,144361,5.159449882,9,,,38.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,?,?,?,United-States,<=50K
53.0,169846,5.230055323,9,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,United-States,>50K
19.0,101509,5.006504549,10,0.0,0.0,32.0,Private,Some-college,Never-married,Prof-specialty,Own-child,White,Male,United-States,<=50K
49.0,268234,5.428513826,9,0.0,0.0,40.0,Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United-States,>50K
48.0,171095,5.233237318,12,0.0,0.0,40.0,Private,Assoc-acdm,Divorced,Exec-managerial,Unmarried,White,Female,England,<=50K
76.0,124191,5.094090124,14,0.0,0.0,40.0,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
47.0,149116,5.173524245,14,0.0,0.0,50.0,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
38.0,65324,4.81507277,15,0.0,0.0,40.0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
36.0,102864,5.012263408,9,0.0,0.0,40.0,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Female,United-States,<=50K
55.0,247552,5.393666439,10,0.0,0.0,56.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
38.0,125933,5.100139549,14,0.0,0.0,40.0,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,?,Male,Iran,>50K
21.0,296158,5.471523469,9,0.0,0.0,35.0,Private,HS-grad,Never-married,Craft-repair,Own-child,White,Male,United-States,<=50K
71.0,494223,5.693922953,10,0.0,1816.0,2.0,Self-emp-not-inc,Some-college,Separated,Sales,Unmarried,Black,Male,United-States,<=50K
28.0,149624,5.175001261,13,0.0,0.0,40.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
27.0,253814,5.404515573,9,0.0,0.0,25.0,Private,HS-grad,,Sales,Unmarried,White,Female,United-States,<=50K
18.0,183930,5.264652571,9,0.0,0.0,12.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
34.0,304030,5.48291644,9,0.0,0.0,40.0,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Male,United-States,<=50K
