age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
,338409.0,5.529441905,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Black,Female,Cuba,<=50K
42.0,159449.0,5.2026218,13.0,5178.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
40.0,121772.0,5.085547439,11.0,0.0,0.0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac,Male,?,>50K
43.0,292175.0,5.465643053,14.0,0.0,0.0,45.0,Self-emp-not-inc,Masters,Divorced,Exec-managerial,Unmarried,White,Female,United-States,>50K
35.0,76845.0,4.885615615,5.0,0.0,0.0,40.0,Federal-gov,,Married-civ-spouse,Farming-fishing,Husband,Black,Male,United-States,<=50K
21.0,197200.0,5.294906911,10.0,0.0,0.0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
24.0,172987.0,5.238013467,13.0,0.0,0.0,50.0,Private,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,<=50K
49.0,94638.0,4.976065554,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
53.0,144361.0,5.159449882,9.0,,,38.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,?,?,?,United-States,<=50K
52.0,276515.0,5.441718695,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,<=50K
59.0,159937.0,5.203948946,9.0,0.0,0.0,48.0,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
33.0,202051.0,5.305461004,14.0,0.0,0.0,50.0,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
,,,10.0,0.0,0.0,25.0,?,?,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
30.0,194901.0,5.289814067,7.0,0.0,0.0,40.0,Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,United-States,<=50K
19.0,301606.0,5.479439977,10.0,0.0,0.0,35.0,Private,?,Never-married,Other-service,Own-child,Black,Male,United-States,<=50K
38.0,120985.0,5.082731529,9.0,4386.0,0.0,35.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,?,Male,United-States,<=50K
28.0,149624.0,5.175001261,13.0,0.0,0.0,40.0,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
30.0,633742.0,5.80191249,10.0,0.0,0.0,45.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
47.0,120939.0,5.082566373,,0.0,0.0,45.0,Private,?,?,Tech-support,Husband,White,Male,United-States,<=50K
41.0,130760.0,5.116474912,,0.0,0.0,24.0,Federal-gov,?,?,Tech-support,Husband,White,Male,United-States,<=50K
35.0,138992.0,5.142989804,,7298.0,0.0,40.0,Private,?,?,Prof-specialty,Other-relative,White,Male,United-States,>50K
19.0,170653.0,5.232113927,9.0,0.0,0.0,40.0,?,HS-grad,Never-married,?,Own-child,White,Male,Italy,<=50K
