age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
,77516.0,4.889391354,13.0,2174.0,0.0,40.0, State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,UnitedStates,<=50K
32.0,205019.0,5.311794111,12.0,0.0,0.0,50.0,Private,Assoc-acdm,Never-married,Sales,Not-in-family,Black,Male,United-States,<=50K
56.0,216851.0,5.336161429,13.0,0.0,0.0,40.0,Local-gov,Bachelors,Married-civ-spouse,Tech-support,Husband,White,Male,United-States,>50K
23.0,190709.0,5.280371189,12.0,0.0,0.0,52.0,Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,United-States,<=50K
48.0,242406.0,5.384543365,7.0,0.0,0.0,40.0,Private,11th,Never-married,Machine-op-inspct,Unmarried,White,Male,Puerto-Rico,<=50K
31.0,84154.0,4.925074764,10.0,0.0,0.0,38.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,?,>50K
48.0,265477.0,5.424026901,12.0,0.0,0.0,40.0,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
49.0,94638.0,4.976065554,9.0,0.0,0.0,40.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,United-States,<=50K
18.0,226956.0,5.355941669,9.0,0.0,0.0,30.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Female,?,<=50K
28.0,183175.0,5.2628662,10.0,0.0,0.0,40.0,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United-States,<=50K
31.0,309974.0,5.491325268,13.0,0.0,0.0,40.0,Private,Bachelors,Separated,Sales,Own-child,Black,Female,United-States,<=50K
27.0,213921.0,5.33025342,9.0,0.0,0.0,40.0,Private,HS-grad,Never-married,Other-service,Own-child,White,Male,Mexico,<=50K
52.0,276515.0,5.441718695,13.0,0.0,0.0,40.0,Private,Bachelors,Married-civ-spouse,Other-service,Husband,White,Male,Cuba,<=50K
48.0,191277.0,5.281662752,16.0,0.0,1902.0,60.0,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
47.0,149116.0,5.173524245,14.0,0.0,0.0,50.0,Self-emp-not-inc,Masters,Never-married,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
