age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
,77516.0,4.889391354,13.0,2174,0,40.0, State-gov,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,UnitedStates,<=50K
49.0,160187.0,5.204627268,5.0,0,0,16.0, Private,,,Other-service,Not-in-family,Black,Female,Jamaica,<=50K
40.0,121772.0,5.085547439,11.0,0,0,40.0,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Asian-Pac,Male,?,>50K
25.0,176756.0,5.247374165,9.0,0,0,35.0,Self-emp-not-inc,HS-grad,Never-married,Farming-fishing,Own-child,Whites,Male,United-States,<=50K
59.0,109015.0,5.037486259,9.0,0,0,40.0,Private,HS-grad,Divorced,Tech-support,Unmarried,White,Female,United-States,<=50K
19.0,544091.0,5.735671542,9.0,0,0,25.0,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
53.0,88506.0,4.946972713,13.0,0,0,40.0,Self-emp-not-inc,?,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
18.0,309634.0,5.490848643,7.0,0,0,22.0,Private,11th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
18.0,446839.0,5.650151071,9.0,0,0,30.0,Private,HS-grad,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
32.0,317660.0,5.501962532,9.0,7688,0,40.0,Self-emp-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
49.0,197371.0,5.295283342,11.0,0,0,40.0,Local-gov,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,Black,Male,United-States,>50K
28.0,69621.0,4.842740257,12.0,0,0,60.0,Private,?,Never-married,Sales,Not-in-family,?,Female,United-States,<=50K
38.0,120985.0,5.082731529,9.0,4386,0,35.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,?,Male,United-States,<=50K
44.0,78374.0,4.894172013,14.0,0,0,40.0,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
30.0,633742.0,5.80191249,10.0,0,0,45.0,Private,Some-college,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
31.0,99928.0,4.999687195,14.0,0,0,50.0,Private,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,United-States,<=50K
37.0,635913.0,5.803397703,13.0,0,0,60.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,Black,Male,United-States,>50K
38.0,182609.0,5.261522178,13.0,0,0,50.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,Poland,<=50K
66.0,167687.0,5.224499395,9.0,1409,0,50.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
75.0,314209.0,5.497218621,11.0,0,0,20.0,Private,Assoc-voc,Widowed,Adm-clerical,Not-in-family,White,Female,Columbia,<=50K
42.0,303044.0,5.48150569,9.0,0,0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
,,,,4064,0,40.0,?,?,?,?,*,*,Male,United-States,<=50K
64.0,21174.0,4.325802909,9.0,0,0,40.0,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
50.0,30653.0,4.486472985,14.0,2407,0,,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
25.0,371987.0,5.570527763,13.0,0,0,40.0,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,Female,United-States,<=50K
65.0,111095.0,5.045694513,9.0,0,0,16.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
,,,,0,0,45.0,,,,,Husband,White,Male,United-States,>50K
,,,,4386,0,40.0,,,,,Husband,White,Male,United-States,>50K
19.0,860348.0,5.934674153,10.0,0,0,25.0,?,Some-college,Never-married,?,Own-child,Black,Female,United-States,<=50K
63.0,78383.0,4.894221881,9.0,0,0,45.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
55.0,98545.0,4.993634594,6.0,0,0,40.0,Local-gov,10th,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
