age,fnlwgt,logfnl,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,sex,native-country,income
34.0,,,,,0,45.0,?,?,?,?,?,?,?,Mexico,<=50K
19.0,544091.0,5.735671542,9.0,0.0,0,25.0,Private,HS-grad,Married-AF-spouse,Adm-clerical,Wife,White,Female,United-States,<=50K
30.0,188146.0,5.27449499,9.0,5013.0,0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
40.0,32214.0,4.508044654,12.0,0.0,0,40.0,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Male,United-States,<=50K
18.0,309634.0,5.490848643,7.0,0.0,0,22.0,Private,11th,Never-married,Other-service,Own-child,White,Female,United-States,<=50K
30.0,54334.0,4.735071678,5.0,0.0,0,40.0,Private,,Never-married,Sales,Not-in-family,White,Male,United-States,<=50K
,,,10.0,0.0,0,25.0,?,?,Divorced,Machine-op-inspct,Unmarried,Black,Female,United-States,<=50K
20.0,188300.0,5.27485032,10.0,0.0,0,40.0,Private,Some-college,Never-married,Tech-support,Own-child,White,Female,United-States,<=50K
53.0,95647.0,4.980671353,5.0,0.0,0,50.0,Private,,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,United-States,<=50K
56.0,303090.0,5.481571608,10.0,0.0,0,50.0,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
37.0,254202.0,5.405178963,13.0,0.0,0,50.0,Private,Bachelors,Married-civ-spouse,Sales,Husband,?,Male,United-States,<=50K
46.0,146195.0,5.16493252,12.0,0.0,0,36.0,Private,Assoc-acdm,Divorced,Tech-support,Not-in-family,?,Female,United-States,<=50K
38.0,125933.0,5.100139549,14.0,0.0,0,40.0,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,?,Male,Iran,>50K
68.0,38317.0,4.583391499,2.0,0.0,0,20.0,?,1st-4th,Divorced,?,Not-in-family,White,Female,United-States,<=50K
44.0,78374.0,4.894172013,14.0,0.0,0,40.0,Self-emp-inc,Masters,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,United-States,<=50K
27.0,124953.0,5.096746688,9.0,0.0,1980,40.0,Private,HS-grad,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
21.0,312956.0,5.495483282,9.0,0.0,0,40.0,Private,HS-grad,Never-married,Craft-repair,Own-child,Black,Male,United-States,<=50K
33.0,37274.0,4.571406001,13.0,0.0,0,65.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
53.0,135105.0,5.130671422,13.0,0.0,0,50.0,?,Bachelors,Divorced,?,Not-in-family,White,Female,United-States,<=50K
24.0,159567.0,5.20294308,,0.0,0,40.0,Private,?,?,Machine-op-inspct,Husband,White,Male,United-States,<=50K
40.0,56795.0,4.754310104,,14084.0,0,55.0,Federal-gov,?,?,Exec-managerial,Not-in-family,White,Female,United-States,>50K
26.0,397317.0,5.599137148,,0.0,1876,40.0,Private,?,?,Prof-specialty,Not-in-family,White,Female,United-States,<=50K
19.0,170653.0,5.232113927,9.0,0.0,0,40.0,?,HS-grad,Never-married,?,Own-child,White,Male,Italy,<=50K
51.0,259323.0,5.413841037,13.0,0.0,0,50.0,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
36.0,128757.0,5.109770849,13.0,7298.0,0,36.0,Private,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Male,United-States,>50K
42.0,303044.0,5.48150569,9.0,0.0,0,40.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Asian-Pac-Islander,Male,Cambodia,>50K
,,,,0.0,0,40.0,?,?,?,?,*,*,Female,United-States,<=50K
50.0,30653.0,4.486472985,14.0,2407.0,0,,Self-emp-not-inc,Masters,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
21.0,231931.0,5.365358801,10.0,0.0,0,45.0,Private,Some-college,Never-married,Sales,Own-child,White,Male,United-States,<=50K
21.0,153718.0,5.186724725,10.0,0.0,0,25.0,Private,Some-college,Never-married,Other-service,Not-in-family,Asian-Pac-Islander,Female,United-States,<=50K
,,,,0.0,0,40.0,,,,,Wife,Asian-Pac-Islander,Female,Laos,<=50K
63.0,78383.0,4.894221881,9.0,0.0,0,45.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United-States,<=50K
23.0,211601.0,5.325517716,11.0,0.0,0,15.0,?,Assoc-voc,Never-married,?,Own-child,Black,Female,United-States,<=50K
26.0,224563.0,5.351338202,13.0,0.0,0,40.0,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,Male,United-States,<=50K
47.0,178686.0,5.252090527,11.0,0.0,0,40.0,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,Male,United-States,<=50K
44.0,160323.0,5.204995831,9.0,0.0,0,40.0,Private,HS-grad,Never-married,Craft-repair,Not-in-family,Black,Male,United-States,<=50K
46.0,108699.0,5.036225549,10.0,0.0,0,40.0,Private,Some-college,Divorced,Sales,Not-in-family,White,Female,United-States,<=50K
52.0,132178.0,5.121159176,13.0,0.0,0,50.0,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
34.0,227689.0,5.35734205,11.0,0.0,0,64.0,Private,Assoc-voc,Divorced,Tech-support,Not-in-family,White,Female,United-States,<=50K
46.0,188386.0,5.275048625,16.0,15024.0,0,60.0,Private,Doctorate,Married-civ-spouse,Exec-managerial,Husband,White,Male,United-States,>50K
20.0,61777.0,4.790826814,10.0,0.0,0,30.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
20.0,146538.0,5.16595026,9.0,0.0,0,40.0,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United-States,<=50K
60.0,245062.0,5.389275974,9.0,0.0,0,40.0,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
40.0,72887.0,4.862650075,11.0,0.0,0,40.0,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Male,United-States,>50K
23.0,54012.0,4.732490259,9.0,0.0,0,60.0,Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
32.0,132601.0,5.122546799,13.0,0.0,0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,<=50K
23.0,197904.0,5.296454572,9.0,0.0,0,35.0,Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,United-States,<=50K
59.0,286967.0,5.457831958,9.0,0.0,0,45.0,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United-States,<=50K
20.0,262749.0,5.419541072,10.0,0.0,0,40.0,Private,Some-college,Never-married,Machine-op-inspct,Own-child,White,Male,United-States,<=50K
39.0,91996.0,4.963768945,9.0,0.0,0,40.0,Private,HS-grad,Divorced,Other-service,Unmarried,White,Female,United-States,<=50K
53.0,251804.0,5.401062625,3.0,0.0,0,30.0,?,5th-6th,Widowed,?,Unmarried,Black,Female,United-States,<=50K
34.0,108116.0,5.03388997,13.0,0.0,0,50.0,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
27.0,201872.0,5.305076086,10.0,0.0,0,50.0,Private,Some-college,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
72.0,205343.0,5.312479903,7.0,0.0,0,40.0,Private,11th,Widowed,Adm-clerical,Unmarried,White,Female,United-States,<=50K
31.0,323069.0,5.509295287,9.0,0.0,0,20.0,Private,HS-grad,Separated,Adm-clerical,Unmarried,White,Female,?,<=50K
34.0,148291.0,5.171114794,9.0,0.0,0,32.0,Private,HS-grad,Married-civ-spouse,Tech-support,Wife,White,Female,United-States,<=50K
21.0,197747.0,5.296109904,10.0,0.0,0,24.0,Private,Some-college,Never-married,Sales,Own-child,White,Female,United-States,<=50K
18.0,156764.0,5.195246336,7.0,0.0,0,40.0,Private,11th,Never-married,Other-service,Own-child,White,Male,United-States,<=50K
52.0,25826.0,4.412057147,6.0,0.0,1887,47.0,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,>50K
57.0,103948.0,5.016816138,13.0,0.0,0,80.0,Self-emp-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Male,United-States,<=50K
60.0,39352.0,4.59496681,4.0,0.0,0,48.0,Private,7th-8th,Never-married,Transport-moving,Not-in-family,White,Male,United-States,>50K
35.0,194404.0,5.288705197,12.0,0.0,0,40.0,Self-emp-not-inc,Assoc-acdm,Never-married,Farming-fishing,Not-in-family,White,Male,United-States,<=50K
52.0,51048.0,4.707978732,13.0,0.0,0,55.0,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,United-States,<=50K
46.0,102388.0,5.01024906,15.0,15024.0,0,45.0,Private,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
30.0,103649.0,5.015565116,13.0,0.0,0,40.0,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,Black,Female,United-States,>50K
58.0,35723.0,4.552947924,9.0,0.0,0,60.0,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United-States,<=50K
21.0,226181.0,5.35445612,13.0,0.0,0,40.0,Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,United-States,<=50K
52.0,289436.0,5.461552548,16.0,0.0,0,60.0,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,Male,United-States,>50K
50.0,195322.0,5.290751163,16.0,0.0,0,40.0,Self-emp-inc,Doctorate,Separated,Prof-specialty,Not-in-family,White,Male,United-States,>50K
70.0,167358.0,5.223646477,5.0,1111.0,0,15.0,?,,Widowed,?,Unmarried,White,Female,United-States,<=50K
